% White,% Black/African American,%65+ Below poverty,Residuals
68.7,3.9,15.6,-10815.172888395618
69.4,4.2,8.4,11699.931613663473
70.0,3.2,5.8,11199.142604716822
70.6,3.9,6.7,21414.92726200961
71.1,3.2,9.3,-12969.703354916623
71.2,0.7,40.7,-8690.530885417336
71.2,2.3,8.8,-10109.67601353218
72.2,4.8,8.7,-7554.438105385717
72.6,5.8,10.6,-1285.2570667384946
72.8,1.9,23.5,-5119.223032952976
73.6,4.6,24.5,-4685.794187050162
73.9,3.5,7.4,-14261.40137919992
74.3,3.0,21.9,23604.116689798404
75.0,2.5,8.7,5500.95397461247
75.1,1.4,5.2,9170.078824260843
75.6,5.8,11.2,-14449.093196534965
76.7,1.0,21.1,6792.279823311536
76.7,2.0,11.2,-15606.662938669835
77.5,1.6,9.7,-14103.565002923588
80.0,2.1,8.4,17103.287446339335
83.3,0.7,4.3,19286.94028363412
83.5,0.9,10.7,-13807.009643143387
83.5,1.2,16.9,-13411.348703556538
85.5,0.9,8.4,-13282.36143399532
85.7,4.4,27.4,-9375.477011614365
86.1,0.1,12.2,-13721.586266749464
86.8,0.9,5.2,-14063.191591874693
